the.data...1.	total.no.trials	binomial.rvs.1	binomial.rvs.2	binomial.rvs.3	binomial.rvs.4	binomial.rvs.5	binomial.rvs.6	binomial.rvs.7	binomial.rvs.8	binomial.rvs.9	binomial.rvs.10	binomial.rvs.11	binomial.rvs.12	binomial.rvs.13	binomial.rvs.14	binomial.rvs.15	binomial.rvs.16	binomial.rvs.17	binomial.rvs.18	binomial.rvs.19	binomial.rvs.20	binomial.rvs.21	binomial.rvs.22	binomial.rvs.23	binomial.rvs.24	binomial.rvs.25	binomial.rvs.26	binomial.rvs.27	binomial.rvs.28	binomial.rvs.29	binomial.rvs.30	binomial.rvs.31	binomial.rvs.32	binomial.rvs.33	binomial.rvs.34	binomial.rvs.35	binomial.rvs.36	binomial.rvs.37	binomial.rvs.38	binomial.rvs.39	binomial.rvs.40	binomial.rvs.41	binomial.rvs.42	binomial.rvs.43	binomial.rvs.44	binomial.rvs.45	binomial.rvs.46	binomial.rvs.47	binomial.rvs.48	binomial.rvs.49	binomial.rvs.50	binomial.rvs.51	binomial.rvs.52	binomial.rvs.53	binomial.rvs.54	binomial.rvs.55	binomial.rvs.56	binomial.rvs.57	binomial.rvs.58	binomial.rvs.59	binomial.rvs.60	binomial.rvs.61	binomial.rvs.62	binomial.rvs.63	binomial.rvs.64	binomial.rvs.65	binomial.rvs.66	binomial.rvs.67	binomial.rvs.68	binomial.rvs.69	binomial.rvs.70	binomial.rvs.71	binomial.rvs.72	binomial.rvs.73	binomial.rvs.74	binomial.rvs.75	binomial.rvs.76	binomial.rvs.77	binomial.rvs.78	binomial.rvs.79	binomial.rvs.80	binomial.rvs.81	binomial.rvs.82	binomial.rvs.83	binomial.rvs.84	binomial.rvs.85	binomial.rvs.86	binomial.rvs.87	binomial.rvs.88	binomial.rvs.89	binomial.rvs.90	binomial.rvs.91	binomial.rvs.92	binomial.rvs.93	binomial.rvs.94	binomial.rvs.95	binomial.rvs.96	binomial.rvs.97	binomial.rvs.98	binomial.rvs.99	binomial.rvs.100
CI90C	NA	10	7	9	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9	10	9	9	5	8	10	8	9	10	9	10	8	8	8	9	9	8	9	9	8	9	10	10	9	8	10	9	8	10	9	9	9	6	7	9	9	8	7	9	8	7	9	9	7
CI91B	NA	9	10	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9	9	8	10	8	7	7	9	8	10	9	5	8	7	10	9	8	9	8	9	7	7	9	7	9	10	10	10	10	8	7	9	9	8	6	9	8
CM105	NA	6	7	5	8	5	6	7	4	8	5	3	6	4	4	8	7	7	3	4	5	8	4	7	5	7	6	9	5	5	4	4	5	4	6	6	5	4	4	5	6	5	3	5	6	6	6	7	5	3	4	5	6	5	5	3	5	3	6	5	6	5	4	5	5	5	5	5	4	3	3	5	6	4	4	5	6	5	7	7	8	6	3	7	5	5	4	6	3	3	3	8	7	4	5	6	3	3	3	7	6
CM174	NA	5	4	4	6	7	5	9	5	6	4	4	5	4	3	2	6	10	6	4	5	6	6	2	5	5	3	6	4	5	3	2	4	4	5	4	4	5	5	5	4	5	4	4	4	5	7	5	7	5	6	5	6	5	5	3	4	8	4	5	7	7	7	6	7	5	4	4	8	4	5	3	4	7	1	5	4	6	7	4	1	7	4	4	6	6	5	7	3	7	6	6	2	5	6	4	4	4	3	4	3
CM37	NA	5	4	5	3	4	3	4	4	6	5	5	4	6	5	6	3	3	5	6	7	5	5	5	8	7	6	6	7	4	5	5	7	4	4	4	6	3	2	5	6	5	4	5	6	8	4	4	6	4	4	5	5	4	6	4	8	3	7	2	5	2	1	3	2	5	3	4	6	6	4	4	7	6	5	6	4	4	4	5	4	4	3	5	4	7	6	5	6	7	4	4	5	2	3	7	6	8	5	6	5
CM7	NA	5	5	1	4	5	6	7	5	4	6	6	5	3	7	4	8	5	7	8	2	3	6	9	5	7	3	6	3	2	6	5	6	4	4	4	1	3	4	3	3	6	4	6	4	6	5	5	8	7	6	7	4	6	5	5	6	5	4	7	4	4	6	4	5	4	7	7	6	4	3	5	7	9	4	6	7	5	3	8	4	6	6	3	5	5	4	7	8	3	6	5	5	5	6	5	3	5	3	5	6
CML103	NA	10	9	8	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7	9	9	9	7	9	9	8	9	10	9	9	7	9	8	9	9	8	9	9	10	10	10	7	9	8	7	7	10	9	9	7	10	9	10	9	10	9	9	9	8	8	9	8	9	8	9	6	10	8	6	9	8	9	9	9	8	10	8
CML108	NA	10	8	7	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9	10	9	9	5	8	10	8	9	10	9	10	8	8	8	9	9	8	9	9	8	9	10	10	9	8	10	9	8	10	9	9	9	6	7	9	9	8	7	9	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10
CML11	NA	8	7	10	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9	9	8	10	8	7	7	9	8	10	9	5	8	7	10	9	8	9	8	9	7	7	9	7	9	10	10	10	10	8	7	9	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7
CML154Q	NA	9	8	9	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8	8	7	8	10	9	8	8	9	9	10	9	10	8	8	8	8	9	9	9	8	9	8	10	10	10	9	8	9	10	9	8	9	7	7	6	8	10	7	9	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10
CML157Q	NA	9	10	9	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	7	9	8	9	8	9	9	10	10	6	9	9	7	7	7	8	7	9	10	9	6	10	9	10	9	7	10	9	9	8	7	10	10	7	9	10	8	8	9	7	10	8	8	8	10	8	8	10	10	9	10	9	10	8	9	7	10	7	9	10	9	9	9	10
CML218	NA	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6	9	9	8	9	9	9	9	9	8	9	6	10	7	10	9	10	10	10	10	9	10	10	8	8	9	9	7	8	9	8	9	10	9	8	9	9	10	9	10	8	8	9	8	7	10	9	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10
CML220	NA	2	6	3	4	8	5	7	8	2	3	6	9	5	7	3	6	3	2	6	5	6	4	4	4	1	3	4	3	3	6	4	6	4	6	5	5	8	7	6	7	4	6	5	5	6	5	4	7	4	4	6	4	5	4	7	7	6	4	3	5	7	9	4	6	7	5	3	8	4	6	6	3	5	5	4	7	8	3	6	5	5	5	6	5	3	5	3	5	6	6	5	6	6	7	7	3	5	6	5	4
CML238	NA	10	7	9	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7	9	9	9	7	9	9	8	9	10	9	9	7	9	8	9	9	8	9	9	10	10	10	7	9	8	7	7	10	9	9	7	10	9	10	9	10	9	9	9	8	8	9	8	9	8	9	6	10	8	6	9	8	9	9	9	8	10	8	10	9	8	9	10	10	9	8	9	8	7
CML247	NA	9	8	8	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9	10	9	9	5	8	10	8	9	10	9	10	8	8	8	9	9	8	9	9	8	9	10	10	9	8	10	9	8	10	9	9	9	6	7	9	9	8	7	9	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6
CML254	NA	8	8	7	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9	9	8	10	8	7	7	9	8	10	9	5	8	7	10	9	8	9	8	9	7	7	9	7	9	10	10	10	10	8	7	9	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10
CML287	NA	6	7	9	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8	8	7	8	10	9	8	8	9	9	10	9	10	8	8	8	8	9	9	9	8	9	8	10	10	10	9	8	9	10	9	8	9	7	7	6	8	10	7	9	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9
CML311	NA	5	4	6	3	6	4	5	3	2	4	4	5	4	4	5	5	5	4	5	4	4	4	5	7	5	7	5	6	5	6	5	5	3	4	8	4	5	7	7	7	6	7	5	4	4	8	4	5	3	4	7	1	5	4	6	7	4	1	7	4	4	6	6	5	7	3	7	6	6	2	5	6	4	4	4	3	4	3	6	5	7	2	7	5	4	5	5	4	4	4	6	6	6	6	2	6	8	5	5	6
CML314	NA	8	10	9	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6	9	9	8	9	9	9	9	9	8	9	6	10	7	10	9	10	10	10	10	9	10	10	8	8	9	9	7	8	9	8	9	10	9	8	9	9	10	9	10	8	8	9	8	7	10	9	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8
CML322	NA	7	5	5	3	6	3	2	6	5	6	4	4	4	1	3	4	3	3	6	4	6	4	6	5	5	8	7	6	7	4	6	5	5	6	5	4	7	4	4	6	4	5	4	7	7	6	4	3	5	7	9	4	6	7	5	3	8	4	6	6	3	5	5	4	7	8	3	6	5	5	5	6	5	3	5	3	5	6	6	5	6	6	7	7	3	5	6	5	4	5	4	6	3	6	3	5	5	6	8	6
CML323	NA	7	6	5	4	5	3	4	6	4	7	5	5	9	6	3	5	5	5	7	7	5	4	5	7	4	5	6	4	1	4	4	7	5	6	5	5	6	5	5	3	3	1	7	4	6	8	7	2	5	4	7	4	5	3	4	3	5	5	4	6	6	5	5	4	6	4	9	4	6	8	4	6	4	5	5	6	4	6	1	4	6	4	2	2	5	6	5	6	7	6	7	6	4	3	9	2	6	5	4	5
CML332	NA	9	10	10	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9	10	9	9	5	8	10	8	9	10	9	10	8	8	8	9	9	8	9	9	8	9	10	10	9	8	10	9	8	10	9	9	9	6	7	9	9	8	7	9	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9
CML333	NA	9	8	9	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9	9	8	10	8	7	7	9	8	10	9	5	8	7	10	9	8	9	8	9	7	7	9	7	9	10	10	10	10	8	7	9	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9
CML38	NA	7	5	4	4	4	5	6	5	3	5	6	6	6	7	5	3	4	5	6	5	5	3	5	3	6	5	6	5	4	5	5	5	5	5	4	3	3	5	6	4	4	5	6	5	7	7	8	6	3	7	5	5	4	6	3	3	3	8	7	4	5	6	3	3	3	7	6	2	3	5	4	4	3	5	7	8	6	3	6	6	3	3	4	5	5	3	5	6	4	3	4	4	5	5	6	3	5	7	5	5
CML52	NA	8	8	10	9	9	9	9	9	9	9	9	9	8	9	7	9	8	9	8	9	9	10	10	6	9	9	7	7	7	8	7	9	10	9	6	10	9	10	9	7	10	9	9	8	7	10	10	7	9	10	8	8	9	7	10	8	8	8	10	8	8	10	10	9	10	9	10	8	9	7	10	7	9	10	9	9	9	10	9	8	8	8	8	10	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8
CML77	NA	8	4	4	3	2	5	6	5	4	5	6	8	4	4	6	4	4	5	5	4	6	4	8	3	7	2	5	2	1	3	2	5	3	4	6	6	4	4	7	6	5	6	4	4	4	5	4	4	3	5	4	7	6	5	6	7	4	4	5	2	3	7	6	8	5	6	5	4	6	5	3	6	3	4	6	2	6	3	7	5	3	5	3	6	5	5	5	3	6	2	4	7	5	2	4	4	4	6	5	2
CML91	NA	7	9	9	10	9	10	10	8	9	8	9	8	9	8	6	7	8	7	9	8	9	9	8	9	9	7	9	9	8	9	9	9	7	7	8	9	10	8	7	5	9	8	7	9	10	7	9	8	8	10	9	8	9	7	6	10	8	9	8	9	8	9	10	9	10	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9
CML92	NA	7	9	10	10	9	9	9	7	7	9	9	9	7	9	9	8	9	10	9	9	7	9	8	9	9	8	9	9	10	10	10	7	9	8	7	7	10	9	9	7	10	9	10	9	10	9	9	9	8	8	9	8	9	8	9	6	10	8	6	9	8	9	9	9	8	10	8	10	9	8	9	10	10	9	8	9	8	7	8	7	8	9	10	5	10	8	9	9	9	7	9	10	9	9	9	7	8	9	9	8
CMV3	NA	4	5	5	4	6	3	3	4	5	3	4	5	3	4	5	9	6	3	5	4	4	4	2	6	6	6	4	5	5	5	4	6	5	2	3	5	5	2	4	6	3	4	5	5	8	7	4	5	5	7	4	6	7	5	4	7	6	4	5	6	2	2	3	4	3	5	3	7	3	5	3	5	6	3	5	4	5	8	5	8	5	6	5	5	6	4	5	7	5	4	3	4	7	5	8	6	4	7	5	2
CO106	NA	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9	9	8	10	8	7	7	9	8	10	9	5	8	7	10	9	8	9	8	9	7	7	9	7	9	10	10	10	10	8	7	9	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8
CO125	NA	9	10	7	8	10	9	8	8	9	9	10	9	10	8	8	8	8	9	9	9	8	9	8	10	10	10	9	8	9	10	9	8	9	7	7	6	8	10	7	9	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8
CO255	NA	5	8	3	7	5	6	5	6	5	5	3	4	8	4	5	7	7	7	6	7	5	4	4	8	4	5	3	4	7	1	5	4	6	7	4	1	7	4	4	6	6	5	7	3	7	6	6	2	5	6	4	4	4	3	4	3	6	5	7	2	7	5	4	5	5	4	4	4	6	6	6	6	2	6	8	5	5	6	6	7	7	5	3	6	4	6	3	3	7	6	4	6	5	6	6	5	7	6	3	5
D940Y	NA	8	9	9	8	9	9	9	9	9	8	9	6	10	7	10	9	10	10	10	10	9	10	10	8	8	9	9	7	8	9	8	9	10	9	8	9	9	10	9	10	8	8	9	8	7	10	9	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8
DE_2	NA	6	7	5	8	7	6	7	4	6	5	5	6	5	4	7	4	4	6	4	5	4	7	7	6	4	3	5	7	9	4	6	7	5	3	8	4	6	6	3	5	5	4	7	8	3	6	5	5	5	6	5	3	5	3	5	6	6	5	6	6	7	7	3	5	6	5	4	5	4	6	3	6	3	5	5	6	8	6	8	4	8	3	7	3	5	4	7	7	4	3	4	6	2	6	5	4	9	6	4	6
DE_3	NA	3	5	6	5	6	4	1	4	4	7	5	6	5	5	6	5	5	3	3	1	7	4	6	8	7	2	5	4	7	4	5	3	4	3	5	5	4	6	6	5	5	4	6	4	9	4	6	8	4	6	4	5	5	6	4	6	1	4	6	4	2	2	5	6	5	6	7	6	7	6	4	3	9	2	6	5	4	5	7	4	3	4	5	5	7	6	4	5	6	8	7	5	5	9	5	6	7	5	2	5
DE1	NA	3	9	5	5	9	6	3	5	4	4	4	2	6	6	6	4	5	5	5	4	6	5	2	3	5	5	2	4	6	3	4	5	5	8	7	4	5	5	7	4	6	7	5	4	7	6	4	5	6	2	2	3	4	3	5	3	7	3	5	3	5	6	3	5	4	5	8	5	8	5	6	5	5	6	4	5	7	5	4	3	4	7	5	8	6	4	7	5	2	7	5	6	4	8	4	3	6	9	8	5
DE811	NA	6	7	4	4	4	3	3	8	5	4	5	3	6	7	7	5	6	3	5	9	6	7	3	4	5	5	7	5	7	7	5	7	4	3	3	4	4	6	7	5	5	5	8	4	6	5	6	5	5	4	7	7	5	6	9	7	6	5	4	5	5	3	4	2	4	7	2	3	5	5	3	7	6	5	5	7	8	4	6	2	7	4	6	5	6	6	6	5	6	5	2	1	8	6	7	6	8	7	6	7
E2558W	NA	10	8	9	8	8	8	9	9	9	8	9	8	10	10	10	9	8	9	10	9	8	9	7	7	6	8	10	7	9	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9
EP1	NA	5	4	6	5	7	7	7	6	7	5	4	4	8	4	5	3	4	7	1	5	4	6	7	4	1	7	4	4	6	6	5	7	3	7	6	6	2	5	6	4	4	4	3	4	3	6	5	7	2	7	5	4	5	5	4	4	4	6	6	6	6	2	6	8	5	5	6	6	7	7	5	3	6	4	6	3	3	7	6	4	6	5	6	6	5	7	6	3	5	7	6	3	5	5	5	3	5	4	4	5
F2834T	NA	7	6	4	2	5	2	1	3	2	5	3	4	6	6	4	4	7	6	5	6	4	4	4	5	4	4	3	5	4	7	6	5	6	7	4	4	5	2	3	7	6	8	5	6	5	4	6	5	3	6	3	4	6	2	6	3	7	5	3	5	3	6	5	5	5	3	6	2	4	7	5	2	4	4	4	6	5	2	5	4	5	7	2	6	6	5	6	4	6	3	3	3	7	2	7	5	5	4	7	3
F44	NA	9	9	6	7	9	9	8	9	9	9	7	7	8	9	10	8	7	5	9	8	7	9	10	7	9	8	8	10	9	8	9	7	6	10	8	9	8	9	8	9	10	9	10	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8
F6	NA	6	5	6	6	5	5	3	3	1	7	4	6	8	7	2	5	4	7	4	5	3	4	3	5	5	4	6	6	5	5	4	6	4	9	4	6	8	4	6	4	5	5	6	4	6	1	4	6	4	2	2	5	6	5	6	7	6	7	6	4	3	9	2	6	5	4	5	7	4	3	4	5	5	7	6	4	5	6	8	7	5	5	9	5	6	7	5	2	5	6	4	4	6	4	7	1	6	6	4	5
F7	NA	9	8	9	8	9	9	8	9	9	8	9	10	10	9	8	10	9	8	10	9	9	9	6	7	9	9	8	7	9	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7
GA209	NA	2	5	5	7	5	6	3	5	9	6	7	3	4	5	5	7	5	7	7	5	7	4	3	3	4	4	6	7	5	5	5	8	4	6	5	6	5	5	4	7	7	5	6	9	7	6	5	4	5	5	3	4	2	4	7	2	3	5	5	3	7	6	5	5	7	8	4	6	2	7	4	6	5	6	6	6	5	6	5	2	1	8	6	7	6	8	7	6	7	5	9	5	6	4	4	5	4	3	2	6
GT112	NA	10	6	7	10	9	8	9	10	9	8	9	7	7	6	8	10	7	9	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10
H105W	NA	2	4	4	5	3	4	7	1	5	4	6	7	4	1	7	4	4	6	6	5	7	3	7	6	6	2	5	6	4	4	4	3	4	3	6	5	7	2	7	5	4	5	5	4	4	4	6	6	6	6	2	6	8	5	5	6	6	7	7	5	3	6	4	6	3	3	7	6	4	6	5	6	6	5	7	6	3	5	7	6	3	5	5	5	3	5	4	4	5	6	7	5	4	6	6	5	3	7	4	8
H49	NA	10	6	10	9	9	7	8	9	8	9	10	9	8	9	9	10	9	10	8	8	9	8	7	10	9	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9
H84	NA	4	6	6	3	5	7	9	4	6	7	5	3	8	4	6	6	3	5	5	4	7	8	3	6	5	5	5	6	5	3	5	3	5	6	6	5	6	6	7	7	3	5	6	5	4	5	4	6	3	6	3	5	5	6	8	6	8	4	8	3	7	3	5	4	7	7	4	3	4	6	2	6	5	4	9	6	4	6	6	5	7	6	4	5	7	2	9	7	6	7	5	7	3	9	8	7	3	3	6	7
H91	NA	5	5	3	2	5	4	7	4	5	3	4	3	5	5	4	6	6	5	5	4	6	4	9	4	6	8	4	6	4	5	5	6	4	6	1	4	6	4	2	2	5	6	5	6	7	6	7	6	4	3	9	2	6	5	4	5	7	4	3	4	5	5	7	6	4	5	6	8	7	5	5	9	5	6	7	5	2	5	6	4	4	6	4	7	1	6	6	4	5	6	6	3	2	6	6	5	5	6	3	8
H95	NA	10	10	9	8	10	9	8	10	9	9	9	6	7	9	9	8	7	9	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5
H99	NA	5	5	6	5	7	5	7	7	5	7	4	3	3	4	4	6	7	5	5	5	8	4	6	5	6	5	5	4	7	7	5	6	9	7	6	5	4	5	5	3	4	2	4	7	2	3	5	5	3	7	6	5	5	7	8	4	6	2	7	4	6	5	6	6	6	5	6	5	2	1	8	6	7	6	8	7	6	7	5	9	5	6	4	4	5	4	3	2	6	10	6	4	5	6	6	2	5	5	3	6
HI27	NA	9	9	8	8	10	7	9	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8
HP301	NA	10	6	10	7	9	10	8	8	9	7	10	8	8	8	10	8	8	10	10	9	10	9	10	8	9	7	10	7	9	10	9	9	9	10	9	8	8	8	8	10	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5	9	8	10	8
HY	NA	3	6	5	4	3	5	4	7	6	5	6	7	4	4	5	2	3	7	6	8	5	6	5	4	6	5	3	6	3	4	6	2	6	3	7	5	3	5	3	6	5	5	5	3	6	2	4	7	5	2	4	4	4	6	5	2	5	4	5	7	2	6	6	5	6	4	6	3	3	3	7	2	7	5	5	4	7	3	4	8	7	4	5	5	8	4	3	6	4	5	5	4	6	6	5	4	5	4	4	5
I137TN	NA	8	9	10	8	8	10	9	8	9	7	6	10	8	9	8	9	8	9	10	9	10	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9
I205	NA	3	5	7	4	6	6	5	5	4	6	4	9	4	6	8	4	6	4	5	5	6	4	6	1	4	6	4	2	2	5	6	5	6	7	6	7	6	4	3	9	2	6	5	4	5	7	4	3	4	5	5	7	6	4	5	6	8	7	5	5	9	5	6	7	5	2	5	6	4	4	6	4	7	1	6	6	4	5	6	6	3	2	6	6	5	5	6	3	8	5	5	5	5	6	5	5	10	7	6	6
IDS28	NA	9	9	9	9	8	7	9	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9
IDS69	NA	9	8	9	10	8	7	9	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9
IDS91	NA	9	9	8	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10
K148	NA	6	6	3	2	5	6	4	4	4	3	4	3	6	5	7	2	7	5	4	5	5	4	4	4	6	6	6	6	2	6	8	5	5	6	6	7	7	5	3	6	4	6	3	3	7	6	4	6	5	6	6	5	7	6	3	5	7	6	3	5	5	5	3	5	4	4	5	6	7	5	4	6	6	5	3	7	4	8	5	7	8	2	3	6	9	5	7	3	6	3	2	6	5	6	4	4	4	1	3	4
K4	NA	10	8	8	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9
K55	NA	5	6	4	5	5	6	5	3	5	3	5	6	6	5	6	6	7	7	3	5	6	5	4	5	4	6	3	6	3	5	5	6	8	6	8	4	8	3	7	3	5	4	7	7	4	3	4	6	2	6	5	4	9	6	4	6	6	5	7	6	4	5	7	2	9	7	6	7	5	7	3	9	8	7	3	3	6	7	6	5	5	7	3	5	7	8	6	5	4	4	5	3	8	6	6	4	4	6	4	6
