these.names	rep.num.plants.per.plot..nrow.simulated.data..	binomial.rvs.1	binomial.rvs.2	binomial.rvs.3	binomial.rvs.4	binomial.rvs.5	binomial.rvs.6	binomial.rvs.7	binomial.rvs.8	binomial.rvs.9	binomial.rvs.10	binomial.rvs.11	binomial.rvs.12	binomial.rvs.13	binomial.rvs.14	binomial.rvs.15	binomial.rvs.16	binomial.rvs.17	binomial.rvs.18	binomial.rvs.19	binomial.rvs.20	binomial.rvs.21	binomial.rvs.22	binomial.rvs.23	binomial.rvs.24	binomial.rvs.25	binomial.rvs.26	binomial.rvs.27	binomial.rvs.28	binomial.rvs.29	binomial.rvs.30	binomial.rvs.31	binomial.rvs.32	binomial.rvs.33	binomial.rvs.34	binomial.rvs.35	binomial.rvs.36	binomial.rvs.37	binomial.rvs.38	binomial.rvs.39	binomial.rvs.40	binomial.rvs.41	binomial.rvs.42	binomial.rvs.43	binomial.rvs.44	binomial.rvs.45	binomial.rvs.46	binomial.rvs.47	binomial.rvs.48	binomial.rvs.49	binomial.rvs.50	binomial.rvs.51	binomial.rvs.52	binomial.rvs.53	binomial.rvs.54	binomial.rvs.55	binomial.rvs.56	binomial.rvs.57	binomial.rvs.58	binomial.rvs.59	binomial.rvs.60	binomial.rvs.61	binomial.rvs.62	binomial.rvs.63	binomial.rvs.64	binomial.rvs.65	binomial.rvs.66	binomial.rvs.67	binomial.rvs.68	binomial.rvs.69	binomial.rvs.70	binomial.rvs.71	binomial.rvs.72	binomial.rvs.73	binomial.rvs.74	binomial.rvs.75	binomial.rvs.76	binomial.rvs.77	binomial.rvs.78	binomial.rvs.79	binomial.rvs.80	binomial.rvs.81	binomial.rvs.82	binomial.rvs.83	binomial.rvs.84	binomial.rvs.85	binomial.rvs.86	binomial.rvs.87	binomial.rvs.88	binomial.rvs.89	binomial.rvs.90	binomial.rvs.91	binomial.rvs.92	binomial.rvs.93	binomial.rvs.94	binomial.rvs.95	binomial.rvs.96	binomial.rvs.97	binomial.rvs.98	binomial.rvs.99	binomial.rvs.100
CI64	10	9	10	9	10	10	8	9	10	9	10	10	10	10	10	10	10	9	8	10	10	9	9	9	10	8	10	8	10	8	8	10	10	9	7	10	9	10	9	10	10	9	10	9	10	10	10	10	10	10	10	10	9	10	9	10	9	9	9	8	8	9	8	10	9	10	10	9	10	10	9	10	10	9	10	10	10	9	8	9	10	10	9	8	7	10	9	8	10	10	8	10	9	9	10	10	9	10	8	8	10
CI66	10	10	10	9	10	9	10	10	10	9	10	9	9	10	10	9	10	10	8	9	10	10	9	8	10	10	9	10	10	10	10	9	9	10	10	10	10	10	9	10	10	9	10	8	10	10	7	9	10	10	10	10	9	8	10	10	10	8	10	10	9	10	10	10	10	8	10	9	10	10	9	10	10	10	10	10	9	10	9	8	8	10	10	10	8	10	9	10	10	10	10	10	10	9	9	10	9	10	9	10	7
CI90C	10	10	8	10	10	9	9	9	8	9	10	10	8	10	7	9	9	9	9	9	10	7	8	9	10	10	9	9	9	9	10	9	10	10	8	8	9	10	10	10	10	10	8	9	9	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	7	9	10	9	10	10	10	10	9	9	9	10	10	9	10	10	9	10	10	10	9	9	10	10	9	10	10	10	10	8	9	10	10	9	8	10	9	8	10	10	8
CI91B	10	10	10	10	10	10	9	10	10	9	10	8	10	9	9	10	10	9	9	10	10	9	9	10	10	9	10	8	9	10	10	10	9	10	10	6	9	9	9	10	10	10	10	9	10	10	10	8	10	9	10	10	10	7	10	9	9	9	10	10	10	10	10	8	10	10	9	10	9	8	8	9	9	10	10	7	9	8	10	10	9	10	9	10	9	8	10	9	10	10	10	10	10	9	8	10	10	9	7	10	9
CM105	10	6	6	7	5	8	7	5	8	5	7	9	6	8	9	5	6	6	9	8	7	5	8	5	7	5	7	3	7	8	8	8	7	8	7	6	7	8	8	7	7	8	9	8	6	6	6	6	7	9	8	7	7	7	7	9	7	9	7	7	7	7	8	8	8	7	8	7	9	9	9	7	6	8	8	7	6	8	6	5	5	6	9	6	7	8	8	7	9	9	9	5	5	8	8	7	9	9	9	6	6
CM174	10	7	8	9	6	6	8	4	7	6	8	8	7	8	9	10	7	3	7	8	8	7	7	10	8	8	9	7	8	8	9	10	8	8	7	8	8	7	8	8	8	7	8	8	8	7	6	8	5	7	7	8	7	7	8	9	9	4	8	8	5	5	5	6	6	7	9	8	5	9	7	9	8	5	10	7	8	7	6	8	10	6	8	9	7	7	7	5	9	6	6	7	10	7	7	8	8	8	9	8	9
CM37	10	7	8	8	9	8	9	8	9	7	7	7	8	7	8	6	9	9	7	6	6	7	7	7	4	5	7	7	6	8	7	7	5	8	8	9	7	9	10	7	7	8	8	8	6	4	8	8	7	8	8	7	7	8	7	8	5	9	5	10	7	10	10	9	10	7	9	8	6	7	8	8	5	6	7	6	8	9	8	7	8	8	9	8	9	6	6	7	6	6	9	8	7	9	9	5	7	4	7	7	7
CM7	10	7	8	10	8	7	7	5	8	8	6	7	7	9	5	8	5	8	5	4	10	9	7	3	7	6	9	7	9	9	6	8	7	8	8	9	10	9	8	9	9	6	8	7	8	7	7	7	4	5	7	5	8	7	7	8	7	8	8	6	8	8	7	8	7	8	6	5	7	8	9	7	5	4	8	7	5	7	9	5	8	7	7	9	8	7	8	5	5	9	7	8	7	8	7	8	9	8	9	7	7
CML10	10	10	10	10	9	8	8	9	9	10	7	9	9	10	10	9	10	10	10	9	6	9	10	10	9	9	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	8	10	9	10	9	10	10	10	10	7	10	10	8	8	8	9	9	10	10	10	8	10	9	10	10	8	10	10	10	9	9	10	10	8	10	10	9	9	10	8	10	9	9	9	10	9	9	10	10	10
CML103	10	10	10	9	9	10	10	8	9	10	10	9	8	10	10	9	10	10	10	10	9	9	10	10	10	10	10	9	10	10	9	10	8	10	10	7	9	10	10	10	10	9	8	10	10	10	8	10	10	9	10	10	10	10	8	10	9	10	10	9	10	10	10	10	10	9	10	9	8	8	10	10	10	8	10	9	10	10	10	10	10	10	9	9	10	9	10	9	10	7	10	9	7	10	9	10	10	10	9	10	9
CML108	10	10	9	9	9	9	9	9	9	10	7	8	9	10	10	9	9	9	9	10	9	10	10	8	8	9	10	10	10	10	10	8	9	9	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	7	9	10	9	10	10	10	10	9	9	9	10	10	9	10	10	9	10	10	10	9	9	10	10	9	10	10	10	10	8	9	10	10	9	8	10	9	8	10	10	8	9	10	10	9	10	10	10	10	10	10	10
CML11	10	9	9	10	10	10	9	9	10	10	9	9	10	10	9	10	8	9	10	10	10	9	10	10	6	9	9	9	10	10	10	10	9	10	10	10	8	10	9	10	10	10	7	10	9	9	9	10	10	10	10	10	8	10	10	9	10	9	8	8	9	9	10	10	7	9	8	10	10	9	10	9	10	9	8	10	9	10	10	10	10	10	9	8	10	10	9	7	10	9	10	9	10	9	10	8	8	10	9	7	9
CML14	10	10	10	10	10	8	10	10	10	10	10	10	9	10	10	10	9	10	9	10	10	9	9	9	10	9	10	8	8	9	9	8	10	10	10	8	10	10	10	9	10	10	10	9	10	10	10	9	7	10	10	9	10	10	10	9	10	9	10	8	10	8	10	10	10	10	10	10	10	10	10	9	9	10	10	8	9	10	9	10	10	10	9	10	10	10	10	10	9	9	10	9	9	10	10	10	10	10	8	9	8
CML154Q	10	10	9	10	8	9	9	10	10	9	8	10	8	10	8	9	7	9	10	10	10	10	10	9	9	9	10	10	9	9	10	10	10	9	9	9	9	9	10	10	9	9	10	10	10	10	10	9	9	9	9	10	10	10	9	10	9	10	10	10	10	9	10	10	9	9	10	9	8	8	9	10	9	9	10	10	9	10	10	10	8	8	10	10	9	10	10	10	9	9	10	10	10	10	10	10	9	8	8	9	10
CML157Q	10	10	10	10	10	9	6	9	10	10	9	9	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	8	10	9	10	9	10	10	10	10	7	10	10	8	8	8	9	9	10	10	10	8	10	9	10	10	8	10	10	10	9	9	10	10	8	10	10	9	9	10	8	10	9	9	9	10	9	9	10	10	10	10	10	10	9	10	8	10	8	10	10	10	10	10	10
CML158Q	10	6	6	9	9	7	8	8	7	7	5	8	8	6	7	7	9	5	8	5	8	5	4	10	9	7	3	7	6	9	7	9	9	6	8	7	8	8	9	10	9	8	9	9	6	8	7	8	7	7	7	4	5	7	5	8	7	7	8	7	8	8	6	8	8	7	8	7	8	6	5	7	8	9	7	5	4	8	7	5	7	9	5	8	7	7	9	8	7	8	5	5	9	7	8	7	8	7	8	9	8
CML218	10	9	9	10	9	10	10	9	9	9	10	9	10	8	8	9	9	8	10	10	10	8	10	10	10	9	10	10	10	9	10	10	10	9	7	10	10	9	10	10	10	9	10	9	10	8	10	8	10	10	10	10	10	10	10	10	10	9	9	10	10	8	9	10	9	10	10	10	9	10	10	10	10	10	9	9	10	9	9	10	10	10	10	10	8	9	8	9	9	9	10	9	9	10	9	10	10	9	10	9	10
CML220	10	9	6	9	8	5	8	5	4	10	9	7	3	7	6	9	7	9	9	6	8	7	8	8	9	10	9	8	9	9	6	8	7	8	7	7	7	4	5	7	5	8	7	7	8	7	8	8	6	8	8	7	8	7	8	6	5	7	8	9	7	5	4	8	7	5	7	9	5	8	7	7	9	8	7	8	5	5	9	7	8	7	8	7	8	9	8	9	7	7	7	7	6	7	6	6	9	8	7	8	8
CML228	10	8	10	10	9	10	10	9	10	10	8	9	10	10	9	8	10	10	9	10	10	10	10	9	9	10	10	10	10	10	9	10	10	9	10	8	10	10	7	9	10	10	10	10	9	8	10	10	10	8	10	10	9	10	10	10	10	8	10	9	10	10	9	10	10	10	10	10	9	10	9	8	8	10	10	10	8	10	9	10	10	10	10	10	10	9	9	10	9	10	9	10	7	10	9	7	10	9	10	10	10
CML238	10	10	9	10	9	10	10	10	10	9	9	10	10	10	10	10	9	10	10	9	10	8	10	10	7	9	10	10	10	10	9	8	10	10	10	8	10	10	9	10	10	10	10	8	10	9	10	10	9	10	10	10	10	10	9	10	9	8	8	10	10	10	8	10	9	10	10	10	10	10	10	9	9	10	9	10	9	10	7	10	9	7	10	9	10	10	10	9	10	9	10	10	9	10	10	10	10	9	10	9	8
CML247	10	9	9	9	9	9	9	9	10	9	10	10	8	8	9	10	10	10	10	10	8	9	9	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	7	9	10	9	10	10	10	10	9	9	9	10	10	9	10	10	9	10	10	10	9	9	10	10	9	10	10	10	10	8	9	10	10	9	8	10	9	8	10	10	8	9	10	10	9	10	10	10	10	10	10	10	9	10	10	10	10	9	10	10	10	9	7
CML254	10	9	9	9	10	8	9	10	10	10	9	10	10	6	9	9	9	10	10	10	10	9	10	10	10	8	10	9	10	10	10	7	10	9	9	9	10	10	10	10	10	8	10	10	9	10	9	8	8	9	9	10	10	7	9	8	10	10	9	10	9	10	9	8	10	9	10	10	10	10	10	9	8	10	10	9	7	10	9	10	9	10	9	10	8	8	10	9	7	9	9	10	10	10	10	10	10	10	10	8	10
CML258	10	9	10	10	8	10	7	9	9	9	9	9	10	7	8	9	10	10	9	9	9	9	10	9	10	10	8	8	9	10	10	10	10	10	8	9	9	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	7	9	10	9	10	10	10	10	9	9	9	10	10	9	10	10	9	10	10	10	9	9	10	10	9	10	10	10	10	8	9	10	10	9	8	10	9	8	10	10	8	9	10	10	9	10	10	10	10
CML261	10	10	10	10	10	9	9	10	10	9	9	10	10	9	9	10	10	9	10	8	9	10	10	10	9	10	10	6	9	9	9	10	10	10	10	9	10	10	10	8	10	9	10	10	10	7	10	9	9	9	10	10	10	10	10	8	10	10	9	10	9	8	8	9	9	10	10	7	9	8	10	10	9	10	9	10	9	8	10	9	10	10	10	10	10	9	8	10	10	9	7	10	9	10	9	10	9	10	8	8	10
CML264	10	9	10	9	9	10	10	8	9	9	10	10	9	8	10	8	10	8	9	7	9	10	10	10	10	10	9	9	9	10	10	9	9	10	10	10	9	9	9	9	9	10	10	9	9	10	10	10	10	10	9	9	9	9	10	10	10	9	10	9	10	10	10	10	9	10	10	9	9	10	9	8	8	9	10	9	9	10	10	9	10	10	10	8	8	10	10	9	10	10	10	9	9	10	10	10	10	10	10	9	8
CML277	10	9	10	10	9	10	10	10	9	6	9	10	10	9	9	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	8	10	9	10	9	10	10	10	10	7	10	10	8	8	8	9	9	10	10	10	8	10	9	10	10	8	10	10	10	9	9	10	10	8	10	10	9	9	10	8	10	9	9	9	10	9	9	10	10	10	10	10	10	9	10	8	10	8	10	10	10
CML281	10	8	9	9	10	9	10	9	10	10	9	9	9	10	9	10	8	8	9	9	8	10	10	10	8	10	10	10	9	10	10	10	9	10	10	10	9	7	10	10	9	10	10	10	9	10	9	10	8	10	8	10	10	10	10	10	10	10	10	10	9	9	10	10	8	9	10	9	10	10	10	9	10	10	10	10	10	9	9	10	9	9	10	10	10	10	10	8	9	8	9	9	9	10	9	9	10	9	10	10	9
CML287	10	8	8	10	9	7	9	10	10	10	10	10	9	9	9	10	10	9	9	10	10	10	9	9	9	9	9	10	10	9	9	10	10	10	10	10	9	9	9	9	10	10	10	9	10	9	10	10	10	10	9	10	10	9	9	10	9	8	8	9	10	9	9	10	10	9	10	10	10	8	8	10	10	9	10	10	10	9	9	10	10	10	10	10	10	9	8	8	9	10	9	9	10	10	10	10	10	10	10	9	10
CML311	10	7	9	6	9	7	8	8	9	10	8	8	7	8	8	7	8	8	8	7	8	8	8	7	6	8	5	7	7	8	7	7	8	9	9	4	8	8	5	5	5	6	6	7	9	8	5	9	7	9	8	5	10	7	8	7	6	8	10	6	8	9	7	7	7	5	9	6	6	7	10	7	7	8	8	8	9	8	9	6	7	5	9	6	8	8	8	8	8	9	8	7	6	7	6	10	7	4	7	7	7
CML314	10	9	10	10	9	9	8	10	10	10	8	10	10	10	9	10	10	10	9	10	10	10	9	7	10	10	9	10	10	10	9	10	9	10	8	10	8	10	10	10	10	10	10	10	10	10	9	9	10	10	8	9	10	9	10	10	10	9	10	10	10	10	10	9	9	10	9	9	10	10	10	10	10	8	9	8	9	9	9	10	9	9	10	9	10	10	9	10	9	10	8	10	10	10	10	9	10	10	9	10	9
CML321	10	10	9	10	9	10	8	10	8	10	8	8	10	10	9	7	10	9	10	9	10	10	9	10	9	10	10	10	10	10	10	10	10	9	10	9	10	9	9	9	8	8	9	8	10	9	10	10	9	10	10	9	10	10	9	10	10	10	9	8	9	10	10	9	8	7	10	9	8	10	10	8	10	9	9	10	10	9	10	8	8	10	9	10	9	10	9	10	10	10	10	10	9	9	10	9	9	9	9	10	10
CML322	10	5	8	8	9	7	9	9	6	8	7	8	8	9	10	9	8	9	9	6	8	7	8	7	7	7	4	5	7	5	8	7	7	8	7	8	8	6	8	8	7	8	7	8	6	5	7	8	9	7	5	4	8	7	5	7	9	5	8	7	7	9	8	7	8	5	5	9	7	8	7	8	7	8	9	8	9	7	7	7	7	6	7	6	6	9	8	7	8	8	7	8	6	9	6	9	7	7	7	5	6
CML323	10	5	7	8	8	7	9	8	6	8	5	8	7	3	7	9	8	7	7	6	5	8	8	8	5	8	8	6	8	10	8	8	5	8	7	8	7	6	8	7	9	9	10	6	8	6	5	5	10	8	8	5	9	7	9	8	9	8	8	8	6	7	7	7	8	6	8	4	9	6	4	8	6	8	7	7	6	8	7	10	8	6	8	10	10	7	6	7	6	5	6	6	7	8	9	3	10	7	8	8	7
CML328	10	10	9	10	8	10	10	9	10	10	10	10	9	9	10	10	10	10	10	9	10	10	9	10	8	10	10	7	9	10	10	10	10	9	8	10	10	10	8	10	10	9	10	10	10	10	8	10	9	10	10	9	10	10	10	10	10	9	10	9	8	8	10	10	10	8	10	9	10	10	10	10	10	10	9	9	10	9	10	9	10	7	10	9	7	10	9	10	10	10	9	10	9	10	10	9	10	10	10	10	9
CML331	10	10	10	9	9	10	10	9	9	9	9	10	9	10	10	8	8	9	10	10	10	10	10	8	9	9	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	7	9	10	9	10	10	10	10	9	9	9	10	10	9	10	10	9	10	10	10	9	9	10	10	9	10	10	10	10	8	9	10	10	9	8	10	9	8	10	10	8	9	10	10	9	10	10	10	10	10	10	10	9	10	10	10	10	9	10	10
CML332	10	10	10	10	10	10	10	10	10	8	9	9	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	7	9	10	9	10	10	10	10	9	9	9	10	10	9	10	10	9	10	10	10	9	9	10	10	9	10	10	10	10	8	9	10	10	9	8	10	9	8	10	10	8	9	10	10	9	10	10	10	10	10	10	10	9	10	10	10	10	9	10	10	10	9	7	10	7	10	9	10	9	9	10	10	9	10
CML333	10	10	9	9	9	9	10	10	10	10	9	10	10	10	8	10	9	10	10	10	7	10	9	9	9	10	10	10	10	10	8	10	10	9	10	9	8	8	9	9	10	10	7	9	8	10	10	9	10	9	10	9	8	10	9	10	10	10	10	10	9	8	10	10	9	7	10	9	10	9	10	9	10	8	8	10	9	7	9	9	10	10	10	10	10	10	10	10	8	10	10	10	10	10	9	9	10	10	8	8	10
CML341	10	10	9	10	10	10	9	10	8	9	10	10	10	9	10	10	6	9	9	9	10	10	10	10	9	10	10	10	8	10	9	10	10	10	7	10	9	9	9	10	10	10	10	10	8	10	10	9	10	9	8	8	9	9	10	10	7	9	8	10	10	9	10	9	10	9	8	10	9	10	10	10	10	10	9	8	10	10	9	7	10	9	10	9	10	9	10	8	8	10	9	7	9	9	10	10	10	10	10	10	10
CML38	10	6	7	8	8	8	7	7	8	9	8	6	6	6	6	7	9	8	7	7	7	7	9	7	9	7	7	7	7	8	8	8	7	8	7	9	9	9	7	6	8	8	7	6	8	6	5	5	6	9	6	7	8	8	7	9	9	9	5	5	8	8	7	9	9	9	6	6	10	9	8	8	8	9	7	5	5	7	9	6	6	9	9	9	7	7	9	8	6	8	9	8	8	7	8	7	9	8	5	8	8
CML45	10	9	10	10	8	10	8	9	7	9	10	10	10	10	10	9	9	9	10	10	9	9	10	10	10	9	9	9	9	9	10	10	9	9	10	10	10	10	10	9	9	9	9	10	10	10	9	10	9	10	10	10	10	9	10	10	9	9	10	9	8	8	9	10	9	9	10	10	9	10	10	10	8	8	10	10	9	10	10	10	9	9	10	10	10	10	10	10	9	8	8	9	10	9	9	10	10	10	10	10	10
CML5	10	9	9	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	8	10	9	10	9	10	10	10	10	7	10	10	8	8	8	9	9	10	10	10	8	10	9	10	10	8	10	10	10	9	9	10	10	8	10	10	9	9	10	8	10	9	9	9	10	9	9	10	10	10	10	10	10	9	10	8	10	8	10	10	10	10	10	10	10	9	9	9	9	10	9	8
CML52	10	9	9	10	10	10	10	10	10	10	10	10	10	9	10	8	10	9	10	9	10	10	10	10	7	10	10	8	8	8	9	9	10	10	10	8	10	9	10	10	8	10	10	10	9	9	10	10	8	10	10	9	9	10	8	10	9	9	9	10	9	9	10	10	10	10	10	10	9	10	8	10	8	10	10	10	10	10	10	10	9	9	9	9	10	9	8	9	10	9	9	8	9	10	10	9	10	9	10	10	9
CML61	10	9	10	9	10	8	8	9	9	8	10	10	10	8	10	10	10	9	10	10	10	9	10	10	10	9	7	10	10	9	10	10	10	9	10	9	10	8	10	8	10	10	10	10	10	10	10	10	10	9	9	10	10	8	9	10	9	10	10	10	9	10	10	10	10	10	9	9	10	9	9	10	10	10	10	10	8	9	8	9	9	9	10	9	9	10	9	10	10	9	10	9	10	8	10	10	10	10	9	10	10
CML69	10	9	10	9	7	10	9	10	9	10	10	9	10	9	10	10	10	10	10	10	10	10	9	10	9	10	9	9	9	8	8	9	8	10	9	10	10	9	10	10	9	10	10	9	10	10	10	9	8	9	10	10	9	8	7	10	9	8	10	10	8	10	9	9	10	10	9	10	8	8	10	9	10	9	10	9	10	10	10	10	10	9	9	10	9	9	9	9	10	10	9	10	10	9	10	9	10	9	10	9	9
CML77	10	5	8	9	9	10	7	7	8	8	8	6	4	8	8	7	8	8	7	7	8	7	8	5	9	5	10	7	10	10	9	10	7	9	8	6	7	8	8	5	6	7	6	8	9	8	7	8	8	9	8	9	6	6	7	6	6	9	8	7	9	9	5	7	4	7	7	7	8	6	7	9	7	9	8	6	10	7	9	6	7	9	7	9	6	8	8	7	9	6	10	9	6	7	10	8	9	8	6	8	9
CML91	10	9	10	10	10	10	10	10	9	10	9	10	9	9	9	8	8	9	8	10	9	10	10	9	10	10	9	10	10	9	10	10	10	9	8	9	10	10	9	8	7	10	9	8	10	10	8	10	9	9	10	10	9	10	8	8	10	9	10	9	10	9	10	10	10	10	10	9	9	10	9	9	9	9	10	10	9	10	10	9	10	9	10	9	10	9	9	9	8	9	8	10	8	10	8	10	10	10	8	9	10
CML92	10	9	10	10	10	10	10	10	9	8	10	10	10	8	10	10	9	10	10	10	10	8	10	9	10	10	9	10	10	10	10	10	9	10	9	8	8	10	10	10	8	10	9	10	10	10	10	10	10	9	9	10	9	10	9	10	7	10	9	7	10	9	10	10	10	9	10	9	10	10	9	10	10	10	10	9	10	9	8	9	9	9	10	10	7	10	9	10	10	10	8	10	10	10	10	10	8	9	10	10	9
CMV3	10	8	7	7	8	7	9	9	8	7	9	8	8	9	8	8	4	6	9	7	8	9	8	9	6	7	6	8	8	7	8	8	6	7	9	9	7	7	10	8	7	9	8	7	7	4	6	8	8	7	5	8	7	6	7	8	5	6	9	8	6	9	9	9	8	9	8	9	6	9	7	9	8	7	9	8	8	7	4	8	4	7	7	8	7	7	8	8	6	8	8	9	8	5	8	5	6	8	6	8	9
CO106	10	10	10	8	10	9	10	10	10	7	10	9	9	9	10	10	10	10	10	8	10	10	9	10	9	8	8	9	9	10	10	7	9	8	10	10	9	10	9	10	9	8	10	9	10	10	10	10	10	9	8	10	10	9	7	10	9	10	9	10	9	10	8	8	10	9	7	9	9	10	10	10	10	10	10	10	10	8	10	10	10	10	10	9	9	10	10	8	8	10	9	10	9	10	9	10	9	9	9	10	9
CO125	10	10	10	9	9	10	10	9	9	10	10	10	10	10	9	9	9	9	10	10	10	9	10	9	10	10	10	10	9	10	10	9	9	10	9	8	8	9	10	9	9	10	10	9	10	10	10	8	8	10	10	9	10	10	10	9	9	10	10	10	10	10	10	9	8	8	9	10	9	9	10	10	10	10	10	10	10	9	10	10	10	10	10	10	9	10	10	8	10	10	10	10	10	10	10	10	10	10	10	9	9
CO255	10	7	5	9	5	7	7	8	7	7	8	9	9	4	8	8	5	5	5	6	6	7	9	8	5	9	7	9	8	5	10	7	8	7	6	8	10	6	8	9	7	7	7	5	9	6	6	7	10	7	7	8	8	8	9	8	9	6	7	5	9	6	8	8	8	8	8	9	8	7	6	7	6	10	7	4	7	7	7	6	5	6	7	9	6	8	6	9	9	6	7	8	7	8	7	7	7	6	6	9	7
D940Y	10	9	10	10	9	10	10	10	9	10	9	10	8	10	8	10	10	10	10	10	10	10	10	10	9	9	10	10	8	9	10	9	10	10	10	9	10	10	10	10	10	9	9	10	9	9	10	10	10	10	10	8	9	8	9	9	9	10	9	9	10	9	10	10	9	10	9	10	8	10	10	10	10	9	10	10	9	10	9	10	10	8	10	10	10	10	10	9	10	10	10	10	10	8	10	9	9	10	9	10	9
DE_2	10	7	5	7	4	5	7	5	8	7	7	8	7	8	8	6	8	8	7	8	7	8	6	5	7	8	9	7	5	4	8	7	5	7	9	5	8	7	7	9	8	7	8	5	5	9	7	8	7	8	7	8	9	8	9	7	7	7	7	6	7	6	6	9	8	7	8	8	7	8	6	9	6	9	7	7	7	5	6	5	8	5	9	6	9	7	8	5	6	8	9	8	6	10	7	7	8	4	6	8	6
DE_3	10	9	7	6	8	6	8	10	8	8	5	8	7	8	7	6	8	7	9	9	10	6	8	6	5	5	10	8	8	5	9	7	9	8	9	8	8	8	6	7	7	7	8	6	8	4	9	6	4	8	6	8	7	7	6	8	7	10	8	6	8	10	10	7	6	7	6	5	6	6	7	8	9	3	10	7	8	8	7	5	8	9	8	8	8	5	7	8	8	7	5	6	7	8	4	7	7	6	7	10	7
DE1	10	9	4	8	8	4	6	9	7	8	9	8	9	6	7	6	8	8	7	8	8	6	7	9	9	7	7	10	8	7	9	8	7	7	4	6	8	8	7	5	8	7	6	7	8	5	6	9	8	6	9	9	9	8	9	8	9	6	9	7	9	8	7	9	8	8	7	4	8	4	7	7	8	7	7	8	8	6	8	8	9	8	5	8	5	6	8	6	8	9	5	8	6	9	4	8	9	6	3	5	8
DE811	10	6	6	8	8	8	9	9	5	8	8	7	9	6	5	5	7	6	9	7	3	6	5	9	8	7	8	6	8	6	6	7	6	8	9	9	9	9	7	5	8	7	7	4	8	6	8	7	8	7	9	5	5	8	6	3	6	6	8	8	7	8	9	8	10	8	5	10	9	8	8	9	6	7	8	8	5	5	8	6	10	6	8	6	7	7	7	6	7	6	7	10	10	5	6	5	6	5	5	6	6
E2558W	10	10	9	10	9	9	9	10	10	10	9	10	9	10	10	10	10	9	10	10	9	9	10	9	8	8	9	10	9	9	10	10	9	10	10	10	8	8	10	10	9	10	10	10	9	9	10	10	10	10	10	10	9	8	8	9	10	9	9	10	10	10	10	10	10	10	9	10	10	10	10	10	10	9	10	10	8	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	10	10	10	10	8	10	10	10
EP1	10	7	8	6	8	5	5	5	6	6	7	9	8	5	9	7	9	8	5	10	7	8	7	6	8	10	6	8	9	7	7	7	5	9	6	6	7	10	7	7	8	8	8	9	8	9	6	7	5	9	6	8	8	8	8	8	9	8	7	6	7	6	10	7	4	7	7	7	6	5	6	7	9	6	8	6	9	9	6	7	8	7	8	7	7	7	6	6	9	7	5	6	9	7	7	8	9	7	8	8	7
F2834T	10	6	6	9	10	7	10	10	9	10	7	9	8	6	7	8	8	5	6	7	6	8	9	8	7	8	8	9	8	9	6	6	7	6	6	9	8	7	9	9	5	7	4	7	7	7	8	6	7	9	7	9	8	6	10	7	9	6	7	9	7	9	6	8	8	7	9	6	10	9	6	7	10	8	9	8	6	8	9	7	8	7	5	10	7	6	8	6	8	6	9	9	9	6	10	6	7	7	9	6	9
F44	10	10	10	8	9	10	10	9	10	10	10	9	8	9	10	10	9	8	7	10	9	8	10	10	8	10	9	9	10	10	9	10	8	8	10	9	10	9	10	9	10	10	10	10	10	9	9	10	9	9	9	9	10	10	9	10	10	9	10	9	10	9	10	9	9	9	8	9	8	10	8	10	8	10	10	10	8	9	10	10	10	9	10	9	10	10	7	9	10	9	9	9	8	9	10	10	8	10	7	9	9
F6	10	7	7	7	6	8	7	9	9	10	6	8	6	5	5	10	8	8	5	9	7	9	8	9	8	8	8	6	7	7	7	8	6	8	4	9	6	4	8	6	8	7	7	6	8	7	10	8	6	8	10	10	7	6	7	6	5	6	6	7	8	9	3	10	7	8	8	7	5	8	9	8	8	8	5	7	8	8	7	5	6	7	8	4	7	7	6	7	10	7	7	8	8	7	8	5	10	6	6	8	7
F7	10	10	9	10	9	10	10	9	10	10	9	10	10	10	9	9	10	10	9	10	10	10	10	8	9	10	10	9	8	10	9	8	10	10	8	9	10	10	9	10	10	10	10	10	10	10	9	10	10	10	10	9	10	10	10	9	7	10	7	10	9	10	9	9	10	10	9	10	10	10	10	8	10	8	9	10	9	10	10	8	10	9	10	7	10	10	9	7	8	10	9	8	10	8	10	10	9	10	10	8	9
